"Jahr","Fachbereich","Mann","Frau","Total","Frau_Proz","Mann_Proz","Kategorie"
"2014/15","Lehrkräfteausbildung allgemein",11,6,17,35.3,64.7,"PH"
"2014/15","Logopädie",0,0,0,0,0,"PH"
"2014/15","Psychomotoriktherapie",0,0,0,0,0,"PH"
"2014/15","Sekundarstufe I",400,567,967,58.6,41.4,"PH"
"2014/15","Sekundarstufe I und II zusammen",0,0,0,0,0,"PH"
"2014/15","Sekundarstufe II (Berufsbildung)",187,144,331,43.5,56.5,"PH"
"2014/15","Sekundarstufe II (Gymnasiale Maturitätsschulen)",4,3,7,42.9,57.1,"PH"
"2014/15","Vorschul- und Primarstufe",295,1677,1972,85,15,"PH"
"2015/16","Berufsbildung allgemein",0,0,0,0,0,"PH"
"2015/16","Fachdidaktik",24,37,61,60.7,39.3,"PH"
"2015/16","Heilpädagogik",0,0,0,0,0,"PH"
"2015/16","Lehrkräfteausbildung allgemein",8,0,8,0,100,"PH"
"2015/16","Logopädie",0,0,0,0,0,"PH"
"2015/16","Psychomotoriktherapie",0,0,0,0,0,"PH"
"2015/16","Sekundarstufe I",435,565,1000,56.5,43.5,"PH"
"2015/16","Sekundarstufe I und II zusammen",0,0,0,0,0,"PH"
"2015/16","Sekundarstufe II (Berufsbildung)",199,156,355,43.9,56.1,"PH"
"2015/16","Sekundarstufe II (Gymnasiale Maturitätsschulen)",12,5,17,29.4,70.6,"PH"
"2015/16","Vorschul- und Primarstufe",325,1676,2001,83.8,16.2,"PH"
"2016/17","Berufsbildung allgemein",0,0,0,0,0,"PH"
"2016/17","Fachdidaktik",24,26,50,52,48,"PH"
"2016/17","Heilpädagogik",0,0,0,0,0,"PH"
"2016/17","Lehrkräfteausbildung allgemein",5,6,11,54.5,45.5,"PH"
"2016/17","Logopädie",0,0,0,0,0,"PH"
"2016/17","Psychomotoriktherapie",0,0,0,0,0,"PH"
"2016/17","Sekundarstufe I",433,543,976,55.6,44.4,"PH"
"2016/17","Sekundarstufe I und II zusammen",0,0,0,0,0,"PH"
"2016/17","Sekundarstufe II (Berufsbildung)",197,170,367,46.3,53.7,"PH"
"2016/17","Sekundarstufe II (Gymnasiale Maturitätsschulen)",12,9,21,42.9,57.1,"PH"
"2016/17","Vorschul- und Primarstufe",346,1634,1980,82.5,17.5,"PH"
"2017/18","Berufsbildung allgemein",0,0,0,0,0,"PH"
"2017/18","Fachdidaktik",26,41,67,61.2,38.8,"PH"
"2017/18","Heilpädagogik",0,0,0,0,0,"PH"
"2017/18","Lehrkräfteausbildung allgemein",11,4,15,26.7,73.3,"PH"
"2017/18","Logopädie",0,0,0,0,0,"PH"
"2017/18","Psychomotoriktherapie",0,0,0,0,0,"PH"
"2017/18","Sekundarstufe I",456,542,998,54.3,45.7,"PH"
"2017/18","Sekundarstufe I und II zusammen",0,0,0,0,0,"PH"
"2017/18","Sekundarstufe II (Berufsbildung)",167,150,317,47.3,52.7,"PH"
"2017/18","Sekundarstufe II (Gymnasiale Maturitätsschulen)",10,8,18,44.4,55.6,"PH"
"2017/18","Vorschul- und Primarstufe",390,1630,2020,80.7,19.3,"PH"
"2018/19","Berufsbildung allgemein",0,0,0,0,0,"PH"
"2018/19","Fachdidaktik",37,75,112,67,33,"PH"
"2018/19","Heilpädagogik",0,0,0,0,0,"PH"
"2018/19","Lehrkräfteausbildung allgemein",5,9,14,64.3,35.7,"PH"
"2018/19","Logopädie",0,0,0,0,0,"PH"
"2018/19","Psychomotoriktherapie",0,0,0,0,0,"PH"
"2018/19","Sekundarstufe I",490,567,1057,53.6,46.4,"PH"
"2018/19","Sekundarstufe I und II zusammen",0,0,0,0,0,"PH"
"2018/19","Sekundarstufe II (Berufsbildung)",183,160,343,46.6,53.4,"PH"
"2018/19","Sekundarstufe II (Gymnasiale Maturitätsschulen)",6,9,15,60,40,"PH"
"2018/19","Vorschul- und Primarstufe",423,1640,2063,79.5,20.5,"PH"
"2019/20","Berufsbildung allgemein",0,0,0,0,0,"PH"
"2019/20","Fachdidaktik",36,91,127,71.7,28.3,"PH"
"2019/20","Heilpädagogik",0,0,0,0,0,"PH"
"2019/20","Lehrkräfteausbildung allgemein",4,7,11,63.6,36.4,"PH"
"2019/20","Logopädie",0,0,0,0,0,"PH"
"2019/20","Psychomotoriktherapie",0,0,0,0,0,"PH"
"2019/20","Sekundarstufe I",474,544,1018,53.4,46.6,"PH"
"2019/20","Sekundarstufe I und II zusammen",0,0,0,0,0,"PH"
"2019/20","Sekundarstufe II (Berufsbildung)",187,183,370,49.5,50.5,"PH"
"2019/20","Sekundarstufe II (Gymnasiale Maturitätsschulen)",7,10,17,58.8,41.2,"PH"
"2019/20","Vorschul- und Primarstufe",439,1640,2079,78.9,21.1,"PH"
